name_0	count
Muhammad b. Humayd al-Razi	2879
Bishr b. Mu'adh	2418
al-Muthanna	2259
Yunus	2250
al-Qasim	1699
Muhammad b. Bashshar	1644
Abu Kurayb	1609
Sufyan b. Waki'	1443
Muhammad b. 'Amr	1411
Ibn 'Abd al-A'la	1278
Muhammad b. al-Muthanna	1081
Ya'qub	1035
Muhammad b. Sa'd	996
al-Hasan b. Yahya	827
Muhammad b. al-Husayn	534
Musa	515
al-Harith	451
Ali	358
Hunnad	328
Ahmad b. Ishaq	205
al-Hasan	200
Muhammad	188
al-Hasan b. Muhammad	168
#####	159
Abu al-Sa'ib	155
Ali b. Sahl al-Ramli	146
Humayd b. Mas'ada	138
Amr b. 'Ali	133
Ibn Sinan	130
Abu Hisham	116
Ahmad	106
Umar	103
Muhammad b. Umara al-Asadi	98
Muhammad b. 'Abd Allah b. 'Abd al-Hakam	83
Abd al-Hamid	74
Yahya b. Abi Talib	69
Mujahid b. Musa	67
Tamim b. al-Muntasir	67
Ahmad b. Hazim	66
Ibn al-Barqi	61
Ahmad b. 'Abd al-Rahman b. Wahb	61
al-'Abbas b. al-Walid	61
al-Hasan b. 'Arafa	58
al-Rabi'	55
Musa b. 'Abd al-Rahman	54
Ibn 'Abd al-Rahim al-Barqi	52
Umar b. Shabba	51
Yahya b. Talha	48
Muhammad b. Khalaf al-'Asqalani	45
Amr b. 'Abd al-Hamid	45
